"layer","zindex","type","startZoom","stopZoom","filter","color","width","pattern"
,,"polygon",15,,"amenity = place_of_worship","0x777777",,
,,"polygon",10,,"leisure = track","0x74dcba",,
,,"polygon",12,,"aeroway = terminal","0xcc99ff",,
"highway-area-fill__highway-area-fill",,"polygon",14,,"highway = living_street","0xbbbbbb",,
,,"polygon",14,,"highway = residential or highway = unclassified or highway = service","0xffffff",,
,,"polygon",14,,"highway = pedestrian or highway = footway","0xededed",,
"misc_boundaries__boundary",,"polygon",7,10,"boundary = national_park","0x00FF00",,
,,"polygon",10,13,"boundary = national_park","0x00FF00",,
"roads",,"line",12,12,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147",3,
,,"line",12,12,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346",3,
,,"line",12,12,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48",2.5,
,,"line",13,14,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x506077",6.5,
,,"line",13,14,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147",7.5,
,,"line",13,14,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346",7.5,
,,"line",13,14,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48",8.5,
,,"line",15,16,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x506077",10,
,,"line",15,16,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147",11.5,
,,"line",15,16,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346",11.5,
,,"line",15,16,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48",11.5,
,,"line",17,,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x506077",13,
,,"line",17,,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147",16,
,,"line",17,,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346",16,
,,"line",17,,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48",16,
,,"line",13,13,"highway = tertiary AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb",6,
,,"line",13,13,"highway = tertiary AND tunnel = yes OR tunnel = true","0x999999",6,
,,"line",13,13,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0x999999",3,
,,"line",13,13,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999",3,
,,"line",14,14,"highway = tertiary AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb",7.5,
,,"line",14,14,"highway = tertiary AND tunnel = yes OR tunnel = true","0x999999",7.5,
,,"line",14,14,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0x999999",4.5,
,,"line",14,14,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999",4.5,
,,"line",15,16,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb",11,
,,"line",15,16,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999",11,
,,"line",17,,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb",16,
,,"line",17,,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999",16,
,,"line",14,14,"highway = service AND  NOT ( service = parking_aisle OR tunnel = yes OR tunnel = true )","0x999999",3,
,,"line",14,14,"highway = service AND tunnel = yes OR tunnel = true","0x999999",3,
,,"line",15,,"highway = service AND  NOT ( service = parking_aisle OR tunnel = yes OR tunnel = true )","0x999999",8,
,,"line",15,,"highway = service AND tunnel = yes OR tunnel = true","0x999999",8,
,,"line",16,,"highway = service AND service = parking_aisle","0x999999",4,
,,"line",13,13,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000",2,
,,"line",13,13,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000",2,
,,"line",14,14,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000",3.6,
,,"line",14,14,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000",3.6,
,,"line",15,15,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000",6.5,
,,"line",15,15,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000",6.5,
,,"line",16,,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000",9,
,,"line",16,,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000",9,
"minor-roads-fill__minor-roads-fill",,"line",12,12,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0x9cc9cc",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0x809bc0",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xa9dba9",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xec989a",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xfed7a5",2,
,,"line",13,15,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0x9cc9cc",4,
,,"line",13,15,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0x809bc0",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xa9dba9",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xec989a",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xfed7a5",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffb3",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xaaaaaa",4,
,,"line",16,,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0x9cc9cc",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0x809bc0",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xa9dba9",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xec989a",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xfed7a5",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffb3",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xaaaaaa",8,
,,"line",12,12,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0",2,
,,"line",13,14,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0",5,
,,"line",15,16,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0",8.5,
,,"line",17,,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0",11,
,,"line",12,12,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9",2.5,
,,"line",13,14,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9",7,
,,"line",15,16,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9",11,
,,"line",17,,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9",15.5,
,,"line",11,12,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a",2.5,
,,"line",13,14,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a",7,
,,"line",15,16,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a",11,
,,"line",17,,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a",15.5,
,30,"line",12,12,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5",2,
,30,"line",13,14,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5",8,
,30,"line",15,16,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5",11,
,30,"line",17,,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5",15.5,
,,"line",13,13,"railway = rail AND tunnel = yes OR tunnel = true","0x9b9b9b",3,
,,"line",13,13,"railway = rail AND tunnel = yes OR tunnel = true","0xafafaf",3,
,,"line",13,13,"railway = rail AND tunnel = yes OR tunnel = true","0xcacaca",3,
,,"line",13,13,"railway = rail AND tunnel = yes OR tunnel = true","0xfdfdfd",3,
,,"line",13,13,"railway = rail AND tunnel = yes OR tunnel = true","0xffffff",3,
,,"line",13,13,"railway = rail AND tunnel = yes OR tunnel = true","0xa1a1a1",3,
,,"line",13,13,"railway = rail AND tunnel = yes OR tunnel = true","0xececec",3,
,,"line",13,,"railway = disused OR railway = abandoned OR railway = construction AND  NOT ( highway <> #EMPTY# )","0x000000",2,
,,"line",13,,"railway = disused OR railway = abandoned OR railway = construction AND  NOT ( highway <> #EMPTY# AND bridge = yes )","0x000000",6,
,,"line",13,,"railway = disused OR railway = abandoned OR railway = construction AND  NOT ( highway <> #EMPTY# AND bridge = yes )","0x000000",2,
,,"line",13,,"railway = disused OR railway = abandoned OR railway = construction AND  NOT ( highway <> #EMPTY# AND bridge = yes )","0xffffff",4.5,
,,"line",13,13,"railway = rail AND  NOT ( tunnel = yes OR tunnel = true )","0x999999",3,
,,"line",13,13,"railway = rail AND  NOT ( tunnel = yes OR tunnel = true )","0xffffff",1,
,,"line",14,,"railway = rail AND bridge = yes OR bridge = true","0x000000",7,
,,"line",14,,"railway = rail AND bridge = yes OR bridge = true","0xffffff",5,
,,"line",14,,"railway = rail AND  NOT ( tunnel = yes OR tunnel = true )","0xffffff",1,
,,"line",14,,"railway = rail AND  NOT ( tunnel = yes OR tunnel = true )","0x999999",3,
,,"line",14,,"railway = rail AND tunnel = yes OR tunnel = true","0xfdfdfd",3,
,,"line",14,,"railway = rail AND tunnel = yes OR tunnel = true","0xececec",3,
,,"line",14,,"railway = rail AND tunnel = yes OR tunnel = true","0x9b9b9b",3,
,,"line",14,,"railway = rail AND tunnel = yes OR tunnel = true","0xa1a1a1",3,
,,"line",14,,"railway = rail AND tunnel = yes OR tunnel = true","0xafafaf",3,
,,"line",14,,"railway = rail AND tunnel = yes OR tunnel = true","0xcacaca",3,
,,"line",14,,"railway = rail AND tunnel = yes OR tunnel = true","0xffffff",3,
,,"line",13,,"railway = narrow_gauge AND  NOT ( tunnel = yes OR tunnel = true )","0x666666",2,
,,"line",13,,"railway = narrow_gauge AND tunnel = yes OR tunnel = true","0xaaaaaa",1.5,
,,"line",13,,"railway = narrow_gauge AND tunnel = yes OR tunnel = true","0xffffff",4,
,,"line",13,,"railway = narrow_gauge AND tunnel = yes OR tunnel = true","0x666666",5,
,,"line",13,14,"railway = tram AND tunnel = yes OR tunnel = true","0x444444",1,
,,"line",15,,"railway = tram AND tunnel = yes OR tunnel = true","0x444444",2,
,,"line",13,,"railway = light_rail AND tunnel = yes OR tunnel = true","0x666666",2,
,,"line",13,,"railway = light_rail AND  NOT ( tunnel = yes OR tunnel = true )","0x666666",2,
,,"line",12,,"railway = subway AND tunnel = yes OR tunnel = true","0x999999",2,
,,"line",12,,"railway = subway AND  NOT ( tunnel = yes OR tunnel = true )","0x999999",2,
,,"line",10,12,"highway = tertiary OR highway = residential OR highway = unclassified OR highway = road","0xbbbbbb",1,
,,"line",13,13,"highway = road","0xdddddd",2,
,,"line",14,14,"highway = road","0xdddddd",3,
,,"line",15,16,"highway = road","0xdddddd",9.4,
,,"line",17,,"highway = road","0xdddddd",13,
,,"line",13,13,"highway = residential OR highway = minor OR highway = unclassified","0xffffff",2,
,,"line",14,15,"highway = residential OR highway = minor OR highway = unclassified","0xffffff",3,
,,"line",15,16,"highway = residential OR highway = minor OR highway = unclassified","0xffffff",9.4,
,,"line",17,,"highway = residential OR highway = minor OR highway = unclassified","0xffffff",13,
,,"line",12,13,"highway = living_street","0xbbbbbb",1.5,
,,"line",14,15,"highway = living_street","0xbbbbbb",3,
,,"line",15,16,"highway = living_street","0xbbbbbb",9.4,
,,"line",17,,"highway = living_street","0xbbbbbb",13,
,20,"line",13,13,"highway = tertiary","0xffffb3",4.5,
,20,"line",14,14,"highway = tertiary","0xffffb3",6,
,20,"line",15,16,"highway = tertiary","0xffffb3",9.4,
,20,"line",17,,"highway = tertiary","0xffffb3",13,
,,"line",13,13,"highway = service AND  NOT ( service = parking_aisle )","0xbbbbbb",1,
,,"line",14,14,"highway = service AND  NOT ( service = parking_aisle )","0xffffff",2,
,,"line",15,,"highway = service AND  NOT ( service = parking_aisle )","0xffffff",6,
,,"line",16,,"highway = service AND service = parking_aisle","0xffffff",3,
,,"line",13,13,"highway = pedestrian","0xededed",1.5,
,,"line",14,14,"highway = pedestrian","0xededed",3,
,,"line",15,15,"highway = pedestrian","0xededed",5.5,
,,"line",16,,"highway = pedestrian","0xededed",8,
,,"line",16,,"highway = platform OR railway = platform","0x000000",6,
,,"line",15,,"highway = steps","0xfa8072",5,"2,1"
,,"line",13,,"highway = bridleway OR highway = path AND horse = designated AND  NOT ( tunnel = yes OR tunnel = true )","0x00ff00",1.5,
,,"line",13,,"highway = bridleway OR highway = path AND horse = designated AND  NOT ( tunnel = yes OR tunnel = true )","0xffffff",4,
,,"line",13,,"highway = footway OR highway = path AND foot = designated AND  NOT ( tunnel = yes OR tunnel = true )","0xffffff",6,
,,"line",13,,"highway = footway OR highway = path AND foot = designated AND  NOT ( tunnel = yes OR tunnel = true )","0x000000",2,
,,"line",13,,"highway = path AND  NOT ( bicycle = designated OR foot = designated OR horse = designated AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 ) )","0x000000",0.5,
,,"line",13,,"highway = path AND  NOT ( bicycle = designated OR foot = designated OR horse = designated AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 ) )","0xffffff",1,
,,"line",16,,"highway = platform OR railway = platform","0xbbbbbb",4,
,,"line",13,14,"highway = steps","0xffffff",6,
,,"line",13,14,"highway = steps","0x000000",2,
,,"line",13,,"highway = cycleway OR highway = path AND bicycle = designated AND  NOT ( tunnel = yes OR tunnel = true )","0xffffff",4,
,,"line",13,,"highway = cycleway OR highway = path AND bicycle = designated AND  NOT ( tunnel = yes OR tunnel = true )","0x0000ff",1.5,
,,"line",13,,"highway = byway","0xffffff",6,
,,"line",13,,"highway = byway","0xffcc00",2,
,,"line",13,13,"highway = track","0xffffff",2.5,
,,"line",13,13,"highway = track","0x996600",1.2,
,,"line",13,13,"highway = unsurfaced","0xffffff",4,
,,"line",13,13,"highway = unsurfaced","0xdebd9c",3,
,,"line",14,,"highway = unsurfaced","0xffffff",5,
,,"line",14,,"highway = unsurfaced","0xdebd9c",4,
,,"line",7,10,"route = ferry","0x66f66f",0.4,
,,"line",11,,"route = ferry","0x66f66f",0.8,
,,"line",11,11,"aeroway = runway","0xbbcbbc",2,
,,"line",12,13,"aeroway = runway","0xbbcbbc",7,
,,"line",14,,"aeroway = runway AND  NOT ( bridge = yes OR bridge = true )","0xbbcbbc",18,
,,"line",11,13,"aeroway = taxiway","0xbbcbbc",1,
,,"line",14,14,"aeroway = taxiway AND  NOT ( bridge = yes OR bridge = true )","0xbbcbbc",4,
,,"line",15,,"aeroway = taxiway AND  NOT ( bridge = yes OR bridge = true )","0xbbcbbc",6,
"roads__roads",,"line",5,7,"highway = motorway OR highway = motorway_link","0x809bc0",0.5,
,,"line",7,9,"highway = motorway OR highway = motorway_link","0x809bc0",1,
,,"line",9,10,"highway = motorway OR highway = motorway_link","0x809bc0",1.4,
,,"line",10,11,"highway = motorway OR highway = motorway_link","0x809bc0",2,
,,"line",11,12,"highway = motorway OR highway = motorway_link","0x809bc0",2.5,
,,"line",5,7,"highway = trunk OR highway = trunk_link","0xa9dba9",0.4,
,,"line",7,9,"highway = trunk OR highway = trunk_link","0x97d397",1,
,,"line",9,11,"highway = trunk OR highway = trunk_link","0x97d397",2,
,,"line",11,12,"highway = trunk OR highway = trunk_link","0x97d397",2.5,
,,"line",7,9,"highway = primary OR highway = primary_link","0xec989a",0.5,
,,"line",9,10,"highway = primary OR highway = primary_link","0xec989a",1.2,
,,"line",10,11,"highway = primary OR highway = primary_link","0xec989a",2,
,,"line",11,12,"highway = primary OR highway = primary_link","0xec989a",2.5,
,,"line",9,11,"highway = secondary OR highway = secondary_link","0xfecc8b",1,
,,"line",11,13,"highway = secondary OR highway = secondary_link","0xfecc8b",2,
,,"line",6,9,"railway = rail","0xaaaaaa",0.6,
,,"line",9,10,"railway = rail AND  NOT ( tunnel = yes OR tunnel = true )","0xaaaaaa",1,
,,"line",9,10,"railway = rail AND tunnel = yes OR tunnel = true","0xaaaaaa",1,
,,"line",8,10,"railway = tram OR railway = light_rail OR railway = narrow_gauge","0xcccccc",1,
,,"line",10,13,"railway = rail AND  NOT ( tunnel = yes OR tunnel = true )","0xaaaaaa",2,
,,"line",10,13,"railway = rail AND tunnel = yes OR tunnel = true","0xaaaaaa",2,
,,"line",10,13,"railway = tram OR railway = light_rail OR railway = narrow_gauge","0xaaaaaa",1,
,,"line",12,13,"railway = preserved","0xaaaaaa",1.5,
,,"line",13,,"railway = preserved","0x999999",3,
,,"line",13,,"railway = preserved","0xffffff",1,
,,"line",14,,"railway = monorail","0x777777",3,
,,"line",14,,"railway = monorail","0xffffff",4,
"admin__admin",,"line",2,6,"admin_level = 2 OR admin_level = 3","0x800080",0.6,
,,"line",7,9,"admin_level = 2 OR admin_level = 3","0x800080",2,
,,"line",10,,"admin_level = 2","0x800080",6,
,,"line",10,,"admin_level = 3","0x800080",5,
,,"line",11,,"admin_level = 4","0x800080",3,
,,"line",11,,"admin_level = 5","0x800080",2,
,,"line",11,,"admin_level = 6","0x800080",2,
,,"line",12,,"admin_level = 8 OR admin_level = 7","0x800080",1.5,
,,"line",13,,"admin_level = 10 OR admin_level = 9","0x800080",2,
,,"line",9,11," NOT ( admin_level <> #EMPTY# )","0x800080",1,
"buildings__buildings",,"line",10,,"leisure = pitch","0x888888",0.5,
,,"polygon",10,,"leisure = pitch","0x8ad3af",1,
,,"polygon",10,,"railway = station OR building = station","0xd4aaaa",1,
,,"polygon",10,,"building = supermarket","0xffafaf",1,
,,"polygon",10,14,"amenity = place_of_worship","0x777777",1,
,,"line",15,,"amenity = place_of_worship","0x111111",0.3,
,,"polygon",15,,"amenity = place_of_worship","0x777777",1,
,,"polygon",10,,"leisure = track","0x74dcba",1,
,,"line",10,,"leisure = track","0x888888",0.5,
,,"polygon",10,,"building <> station AND building <> supermarket AND building <> #EMPTY#","0xcc9999",1,
,,"polygon",12,,"aeroway = terminal","0xcc99ff",1,
,,"line",14,,"aeroway = terminal","0x330066",0.2,
"icon",,"icon",14,,"amenity = cafe ","cafe.p.16",,
